2018/09/22 23:39:06.865 DEBUG 127 Comm - Rx: Type=Petex.IVM.Messages.HereIsVisualWorkflowHistoryDetailsMessage ; Sender=2737; Length=299; ExpandedTo=1053 
2018/09/22 23:39:06.916 DEBUG 65 Comm - Rx: Type=Petex.IVM.Objects.ProcessValuesMessage ; Sender=2742; Length=9551; ExpandedTo=55183 
2018/09/22 23:39:06.933 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.934 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:06.934 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.946 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=157; CompressedTo=105
2018/09/22 23:39:06.988 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2739; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.989 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2739); Length=111; CompressedTo=71
2018/09/22 23:39:06.992 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2739; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.992 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.HereIsVisualWorkflowHistoryDetailsMessage ; Sender=2742; Length=385; ExpandedTo=1411 
2018/09/22 23:39:07.003 DEBUG 70 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2739); Length=21237; CompressedTo=7855
2018/09/22 23:39:07.040 DEBUG 5 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2746; Length=3453; ExpandedTo=26679 
2018/09/22 23:39:07.043 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2746); Length=25071; CompressedTo=7469
2018/09/22 23:39:07.051 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:07.052 DEBUG 72 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
2018/09/22 23:39:07.057 DEBUG 5 Comm - Rx: Type=Petex.IVM.Messages.GetCurrentValuesMessage ; Sender=2746; Length=3510; ExpandedTo=6017 
2018/09/22 23:39:07.068 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2744; Length=178; ExpandedTo=178 
2018/09/22 23:39:07.074 DEBUG 73 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2744); Length=167; CompressedTo=117
2018/09/22 23:39:07.075 DEBUG ScheduleRunHistoryWriteQueue ScheduleRunHistoryWriteQueue - Begin Processing 58 historical values
2018/09/22 23:39:07.077 DEBUG 129 Comm - Tx: Type=Petex.IVM.Messages.HereIsCurrentValuesMessage; Recipient=(2746); Length=76169; CompressedTo=23939
2018/09/22 23:39:07.120 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2738; Length=103; ExpandedTo=103 
2018/09/22 23:39:07.121 DEBUG 135 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2738); Length=111; CompressedTo=70
2018/09/22 23:39:07.121 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2738; Length=173; ExpandedTo=173 
2018/09/22 23:39:07.132 DEBUG 70 Comm - Tx: Type=Petex.IVM.Messages.Historical.ReadHistoricalResponseMessage; Recipient=(2738); Length=21162; CompressedTo=8034
2018/09/22 23:39:07.137 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2739; Length=103; ExpandedTo=103 
2018/09/22 23:39:07.138 DEBUG 94 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2739); Length=111; CompressedTo=70
2018/09/22 23:39:07.139 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2739; Length=173; ExpandedTo=173 
2018/09/22 23:39:07.146 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:07.147 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=71
